Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,1028.6958009084556,0.0,10424.26568136203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1028.6958009084556,1028.6958009084556,0.0,1142.9953343427283,0.0,1028.6958009084556,1142.9953343427283
2019/01/01 02:00:00,691.7122273468592,0.0,743.9892347820717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,691.7122273468592,691.7122273468592,0.0,768.5691414965102,0.0,691.7122273468592,768.5691414965102
2019/01/01 03:00:00,825.6826133697502,0.0,1737.654711618991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,825.6826133697502,825.6826133697502,0.0,917.425125966389,0.0,825.6826133697502,917.425125966389
2019/01/01 04:00:00,691.7122443810683,0.0,856.9422525990418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,691.7122443810683,691.7122443810683,0.0,768.5691604234092,0.0,691.7122443810683,768.5691604234092
2019/01/01 05:00:00,1037.2628665176978,0.0,2212.973665380746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1037.2628665176978,1037.2628665176978,0.0,1152.5142961307754,0.0,1037.2628665176978,1152.5142961307754
2019/01/01 06:00:00,2090.6370701687392,0.0,4396.702237739582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2090.6370701687392,2090.6370701687392,0.0,2322.930077965266,0.0,2090.6370701687392,2322.930077965266
2019/01/01 07:00:00,2446.299763764608,0.0,15898.861687303113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2446.299763764608,2446.299763764608,0.0,2718.110848627342,0.0,2446.299763764608,2718.110848627342
2019/01/01 08:00:00,3488.666619187736,0.0,28413.5397864787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3488.666619187736,3488.666619187736,0.0,3876.2962435419295,0.0,3488.666619187736,3876.2962435419295
2019/01/01 09:00:00,3961.5779100631944,0.0,27413.15337414785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3961.5779100631944,3961.5779100631944,0.0,4401.7532334035495,0.0,3961.5779100631944,4401.7532334035495
2019/01/01 10:00:00,4325.314868693852,0.0,26843.964236402702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4325.314868693852,4325.314868693852,0.0,4805.905409659837,0.0,4325.314868693852,4805.905409659837
2019/01/01 11:00:00,4969.430863074087,0.0,28648.28561178939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4969.430863074087,4969.430863074087,0.0,5521.589847860096,0.0,4969.430863074087,5521.589847860096
2019/01/01 12:00:00,5283.311674371788,0.0,27896.24898605141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5283.311674371788,5283.311674371788,0.0,5870.346304857542,0.0,5283.311674371788,5870.346304857542
2019/01/01 13:00:00,4895.312415111603,0.0,25233.371768353238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4895.312415111603,4895.312415111603,0.0,5439.23601679067,0.0,4895.312415111603,5439.23601679067
2019/01/01 14:00:00,4929.057308137662,0.0,23767.023587203916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4929.057308137662,4929.057308137662,0.0,5476.73034237518,0.0,4929.057308137662,5476.73034237518
2019/01/01 15:00:00,4605.312876219023,0.0,24667.889432663385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4605.312876219023,4605.312876219023,0.0,5117.014306910026,0.0,4605.312876219023,5117.014306910026
2019/01/01 16:00:00,4462.055504868241,0.0,26104.028621377765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4462.055504868241,4462.055504868241,0.0,4957.8394498536,0.0,4462.055504868241,4957.8394498536
2019/01/01 17:00:00,4876.1655053779095,0.0,26753.458133315857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4876.1655053779095,4876.1655053779095,0.0,5417.961672642123,0.0,4876.1655053779095,5417.961672642123
2019/01/01 18:00:00,4867.399943607765,0.0,27292.76981977374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4867.399943607765,4867.399943607765,0.0,5408.222159564182,0.0,4867.399943607765,5408.222159564182
2019/01/01 19:00:00,4511.4055452385155,0.0,25570.22434469903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4511.4055452385155,4511.4055452385155,0.0,5012.672828042795,0.0,4511.4055452385155,5012.672828042795
