Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,199.23690059311164,0,524.0958179622637,0,0,0,0,0,0,0,0,0,0,0,0,199.23690059311164,199.23690059311164,0.0,221.37433399234627,0.0,199.23690059311164,221.37433399234627
2019/01/01 02:00:00,148.45720104156848,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,148.45720104156848,148.45720104156848,0.0,164.95244560174277,0.0,148.45720104156848,164.95244560174277
2019/01/01 03:00:00,198.40935388576122,0,769.4049240076632,0,0,0,0,0,0,0,0,0,0,0,0,198.40935388576122,198.40935388576122,0.0,220.4548376508458,0.0,198.40935388576122,220.4548376508458
2019/01/01 04:00:00,148.45720104156848,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,148.45720104156848,148.45720104156848,0.0,164.95244560174277,0.0,148.45720104156848,164.95244560174277
2019/01/01 05:00:00,194.91296720037593,0,594.2741269825596,0,0,0,0,0,0,0,0,0,0,0,0,194.91296720037593,194.91296720037593,0.0,216.56996355597326,0.0,194.91296720037593,216.56996355597326
2019/01/01 06:00:00,208.48190959539951,0,272.1322464355365,0,0,0,0,0,0,0,0,0,0,0,0,208.48190959539951,208.48190959539951,0.0,231.64656621711057,0.0,208.48190959539951,231.64656621711057
2019/01/01 07:00:00,266.46768657565207,0,2372.386167054937,0,0,0,0,0,0,0,0,0,0,0,0,266.46768657565207,266.46768657565207,0.0,296.07520730628005,0.0,266.46768657565207,296.07520730628005
2019/01/01 08:00:00,276.01565491598745,0,3100.828184938602,0,0,0,0,0,0,0,0,0,0,0,0,276.01565491598745,276.01565491598745,0.0,306.68406101776384,0.0,276.01565491598745,306.68406101776384
2019/01/01 09:00:00,524.6636822071694,0,1992.2437992319292,0,0,0,0,0,0,0,0,0,0,0,0,524.6636822071694,524.6636822071694,0.0,582.9596468968548,0.0,524.6636822071694,582.9596468968548
2019/01/01 10:00:00,524.4764300130774,0,1674.923856473028,0,0,0,0,0,0,0,0,0,0,0,0,524.4764300130774,524.4764300130774,0.0,582.7515889034194,0.0,524.4764300130774,582.7515889034194
