Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 1 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 1 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 2(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,3677.6131554727135,0.0,23701.838969121247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5874264677995307,-0.5874264677995307,0.022425207251540128,0.022425207251540128,-0.2962515188355271,12.23229173107076,12.23229173107076,5.010410307930314,5.010410307930314,6.823584681881854,3677.6131554727135,3677.6131554727135,0.0,4086.236839414126,0.0,3677.6131554727135,4086.236839414126
2019/01/01 02:00:00,2617.5431629770383,0.0,5135.348899022547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5906768446703509,-0.5906768446703509,0.049903359959207944,0.049903359959207944,-0.3066516230565769,12.313308033982452,12.313308033982452,5.05155715330406,5.05155715330406,6.9543600901927505,2617.5431629770383,2617.5431629770383,0.0,2908.381292196709,0.0,2617.5431629770383,2908.381292196709
2019/01/01 03:00:00,3299.0351532776745,0.0,10073.865698256912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6225616359583321,-0.6225616359583321,0.01942375451529409,0.01942375451529409,-0.3242984766640072,13.132352944714327,13.132352944714327,5.007810063351982,5.007810063351982,7.186732864628283,3299.0351532776745,3299.0351532776745,0.0,3665.594614752972,0.0,3299.0351532776745,3665.594614752972
2019/01/01 04:00:00,2741.9870857616684,0.0,4741.190043833674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6301686088904969,-0.6301686088904969,0.01781075557230346,0.01781075557230346,-0.3354999326505643,13.33427659082588,13.33427659082588,5.0065667685749276,5.0065667685749276,7.341081836239397,2741.9870857616684,2741.9870857616684,0.0,3046.6523175129646,0.0,2741.9870857616684,3046.6523175129646
2019/01/01 05:00:00,3755.7011340936506,0.0,12402.926278724563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6026069314078113,-0.6026069314078113,0.0312234478954712,0.0312234478954712,-0.33830923012552494,12.614597777957542,12.614597777957542,5.020181877454704,5.020181877454704,7.380627453948009,3755.7011340936506,3755.7011340936506,0.0,4173.001260104056,0.0,3755.7011340936506,4173.001260104056
2019/01/01 06:00:00,5024.862639443354,0.0,13981.098215654429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6409130404756743,-0.6409130404756743,0.023294603990418605,0.023294603990418605,-0.35726443531366037,13.623759709422018,13.623759709422018,5.011233163592166,5.011233163592166,7.656220482157522,5024.862639443354,5024.862639443354,0.0,5583.1807104926165,0.0,5024.862639443354,5583.1807104926165
2019/01/01 07:00:00,7115.41155767905,0.0,32498.617885565956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6316544616891315,-0.6316544616891315,0.024888717901723364,0.024888717901723364,-0.364714598006309,13.3740109733059,13.3740109733059,5.012823245836842,5.012823245836842,7.768724848932592,7115.41155767905,7115.41155767905,0.0,7906.0128418656095,0.0,7115.41155767905,7906.0128418656095
2019/01/01 08:00:00,8886.772435320709,0.0,51546.90089595488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6571503519461471,-0.6571503519461471,0.01882414154189183,0.01882414154189183,-0.38097370173112166,14.070734672625065,14.070734672625065,5.007335303836854,5.007335303836854,8.02246738424546,8886.772435320709,8886.772435320709,0.0,9874.191594800786,0.0,8886.772435320709,9874.191594800786
2019/01/01 09:00:00,10218.938742335926,0.0,60842.96223458196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.674390527661862,-0.674390527661862,0.016785542257582862,0.016785542257582862,-0.39837146052471206,14.55782061617461,14.55782061617461,5.005832531374182,5.005832531374182,8.306478636380618,10218.938742335926,10218.938742335926,0.0,11354.376380373253,0.0,10218.938742335926,11354.376380373253
2019/01/01 10:00:00,10609.951703959872,0.0,50508.36354449132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3562182309508133,-0.3562182309508133,0.06057986893291726,0.06057986893291726,-0.2845330642791549,7.6406110664893845,7.6406110664893845,5.075981689460477,5.075981689460477,6.681708092656137,10609.951703959872,10609.951703959872,0.0,11788.835226622083,0.0,10609.951703959872,11788.835226622083
