Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,1712.9603075955802,0.0,12944.46357337862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1712.9603075955802,1712.9603075955802,0.0,1903.2892306617557,0.0,1712.9603075955802,1903.2892306617557
2019/01/01 02:00:00,1053.5363945007807,0.0,878.7881267689876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1053.5363945007807,1053.5363945007807,0.0,1170.5959938897563,0.0,1053.5363945007807,1170.5959938897563
2019/01/01 03:00:00,1508.2433366772862,0.0,4247.541472448144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1508.2433366772862,1508.2433366772862,0.0,1675.825929641429,0.0,1508.2433366772862,1675.825929641429
2019/01/01 04:00:00,1199.4853926329922,0.0,1098.9357395789448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1199.4853926329922,1199.4853926329922,0.0,1332.7615473699914,0.0,1199.4853926329922,1332.7615473699914
2019/01/01 05:00:00,1800.6870370829283,0.0,6140.198011507713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1800.6870370829283,1800.6870370829283,0.0,2000.763374536587,0.0,1800.6870370829283,2000.763374536587
2019/01/01 06:00:00,2864.050773787786,0.0,8196.974182614429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2864.050773787786,2864.050773787786,0.0,3182.2786375419846,0.0,2864.050773787786,3182.2786375419846
2019/01/01 07:00:00,3745.154861963006,0.0,19639.514072052654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3745.154861963006,3745.154861963006,0.0,4161.283179958895,0.0,3745.154861963006,4161.283179958895
2019/01/01 08:00:00,4847.41706515369,0.0,31961.192343316427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4847.41706515369,4847.41706515369,0.0,5386.018961281879,0.0,4847.41706515369,5386.018961281879
2019/01/01 09:00:00,5209.303331877563,0.0,31416.45744784791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5209.303331877563,5209.303331877563,0.0,5788.114813197293,0.0,5209.303331877563,5788.114813197293
2019/01/01 10:00:00,5574.256566929282,0.0,30171.266194346492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5574.256566929282,5574.256566929282,0.0,6193.618407699202,0.0,5574.256566929282,6193.618407699202
2019/01/01 11:00:00,6232.243341958877,0.0,32246.64465491995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6232.243341958877,6232.243341958877,0.0,6924.71482439875,0.0,6232.243341958877,6924.71482439875
2019/01/01 12:00:00,6544.180009045289,0.0,31414.615068369454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6544.180009045289,6544.180009045289,0.0,7271.311121161432,0.0,6544.180009045289,7271.311121161432
2019/01/01 13:00:00,6160.0426737298185,0.0,28422.57725361625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6160.0426737298185,6160.0426737298185,0.0,6844.4918596997995,0.0,6160.0426737298185,6844.4918596997995
2019/01/01 14:00:00,6200.3534241563375,0.0,26685.1882239743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6200.3534241563375,6200.3534241563375,0.0,6889.28158239593,0.0,6200.3534241563375,6889.28158239593
2019/01/01 15:00:00,5882.164998066113,0.0,27551.048607887737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5882.164998066113,5882.164998066113,0.0,6535.738886740126,0.0,5882.164998066113,6535.738886740126
2019/01/01 16:00:00,5733.764920206309,0.0,29088.29504138684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5733.764920206309,5733.764920206309,0.0,6370.849911340343,0.0,5733.764920206309,6370.849911340343
