Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W]
11:00:00,1.606781E+01,0.000000E+00,3.525723E+01,4.625712E+05,7.300623E+05,1.606781E+01,0.000000E+00,3.308851E+01,3.979803E+05,8.451309E+05,2.294206E+01,4.119537E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.918477E+01,7.297130E+05,1.005084E+06,1.606781E+01,0.000000E+00,5.857175E+01,6.824972E+05,1.129132E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.672294E+01,7.022340E+05,9.691280E+05,1.606781E+01,0.000000E+00,5.537127E+01,6.467718E+05,1.084450E+06,2.115941E+01,4.268625E+05,1.606781E+01,0.000000E+00,0.000000E+00
12:00:00,1.606781E+01,0.000000E+00,3.406202E+01,4.642056E+05,6.934688E+05,1.606781E+01,0.000000E+00,3.217453E+01,4.027475E+05,8.105042E+05,2.208676E+01,4.191217E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.763793E+01,7.273917E+05,9.658225E+05,1.606781E+01,0.000000E+00,5.705312E+01,6.804876E+05,1.088320E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.385603E+01,6.851946E+05,9.295087E+05,1.606781E+01,0.000000E+00,5.258354E+01,6.306148E+05,1.043738E+06,2.024113E+01,4.345518E+05,1.606781E+01,0.000000E+00,0.000000E+00
13:00:00,1.606781E+01,0.000000E+00,3.226043E+01,4.561541E+05,6.993091E+05,1.606781E+01,0.000000E+00,3.044357E+01,3.954840E+05,8.140062E+05,2.054772E+01,4.320008E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.446050E+01,7.039923E+05,9.605614E+05,1.606781E+01,0.000000E+00,5.388507E+01,6.571961E+05,1.084312E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.109817E+01,6.664464E+05,9.228132E+05,1.606781E+01,0.000000E+00,4.985175E+01,6.121609E+05,1.038894E+06,1.864468E+01,4.479149E+05,1.606781E+01,0.000000E+00,0.000000E+00
14:00:00,1.606781E+01,0.000000E+00,3.231839E+01,4.642914E+05,7.234204E+05,1.606781E+01,0.000000E+00,3.055286E+01,4.041976E+05,8.401841E+05,1.985152E+01,4.378249E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.329515E+01,6.984637E+05,9.646405E+05,1.606781E+01,0.000000E+00,5.272503E+01,6.517252E+05,1.089230E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.004092E+01,6.621298E+05,9.249089E+05,1.606781E+01,0.000000E+00,4.881765E+01,6.081004E+05,1.042224E+06,1.776834E+01,4.552501E+05,1.606781E+01,0.000000E+00,0.000000E+00
15:00:00,1.606781E+01,0.000000E+00,3.247157E+01,4.659692E+05,7.257688E+05,1.606781E+01,0.000000E+00,3.074903E+01,4.063544E+05,8.444692E+05,1.928503E+01,4.425665E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.256994E+01,6.903371E+05,9.534566E+05,1.606781E+01,0.000000E+00,5.200516E+01,6.436563E+05,1.077986E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.925777E+01,6.533661E+05,9.140249E+05,1.606781E+01,0.000000E+00,4.805544E+01,5.995683E+05,1.031418E+06,1.700391E+01,4.616497E+05,1.606781E+01,0.000000E+00,0.000000E+00
16:00:00,1.606781E+01,0.000000E+00,3.223718E+01,4.543368E+05,7.092079E+05,1.606781E+01,0.000000E+00,3.055404E+01,3.951601E+05,8.281887E+05,1.879362E+01,4.466791E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.184879E+01,6.732748E+05,9.330515E+05,1.606781E+01,0.000000E+00,5.128965E+01,6.266568E+05,1.057397E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.828773E+01,6.335265E+05,8.913381E+05,1.606781E+01,0.000000E+00,4.710592E+01,5.799575E+05,1.008607E+06,1.632133E+01,4.673640E+05,1.606781E+01,0.000000E+00,0.000000E+00
17:00:00,1.606781E+01,0.000000E+00,3.159352E+01,4.351474E+05,6.864891E+05,1.606781E+01,0.000000E+00,2.994675E+01,3.763773E+05,8.049743E+05,1.836159E+01,4.502941E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,5.098088E+01,6.515795E+05,9.102713E+05,1.606781E+01,0.000000E+00,5.042727E+01,6.050238E+05,1.034573E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.703643E+01,6.075504E+05,8.637437E+05,1.606781E+01,0.000000E+00,4.587423E+01,5.542012E+05,9.810402E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
18:00:00,1.606781E+01,0.000000E+00,3.036288E+01,4.064030E+05,6.544869E+05,1.606781E+01,0.000000E+00,2.875141E+01,3.480298E+05,7.721265E+05,1.798193E+01,4.534707E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.972654E+01,6.225648E+05,8.801593E+05,1.606781E+01,0.000000E+00,4.917991E+01,5.760875E+05,1.004450E+06,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.531824E+01,5.733581E+05,8.276824E+05,1.606781E+01,0.000000E+00,4.417661E+01,5.202394E+05,9.450316E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
19:00:00,1.606781E+01,0.000000E+00,2.821322E+01,3.598914E+05,6.020717E+05,1.606781E+01,0.000000E+00,2.663905E+01,3.019393E+05,7.180892E+05,1.765059E+01,4.562431E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.779980E+01,5.785355E+05,8.336994E+05,1.606781E+01,0.000000E+00,4.726404E+01,5.321801E+05,9.579229E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.281444E+01,5.228883E+05,7.738707E+05,1.606781E+01,0.000000E+00,4.169731E+01,4.700442E+05,8.911592E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
20:00:00,1.606781E+01,0.000000E+00,2.544982E+01,3.125366E+05,5.469129E+05,1.606781E+01,0.000000E+00,2.392556E+01,2.551468E+05,6.608100E+05,1.736185E+01,4.586590E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.523239E+01,5.333622E+05,7.854075E+05,1.606781E+01,0.000000E+00,4.471508E+01,4.872136E+05,9.096054E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,3.962625E+01,4.707865E+05,7.175686E+05,1.606781E+01,0.000000E+00,3.854200E+01,4.183106E+05,8.347905E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
21:00:00,1.606781E+01,0.000000E+00,2.382186E+01,2.808557E+05,5.113744E+05,1.606781E+01,0.000000E+00,2.233742E+01,2.239133E+05,6.239349E+05,1.711028E+01,4.607639E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.360700E+01,5.017070E+05,7.528442E+05,1.606781E+01,0.000000E+00,4.310126E+01,4.556881E+05,8.768646E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,3.762881E+01,4.349787E+05,6.803307E+05,1.606781E+01,0.000000E+00,3.656625E+01,3.827457E+05,7.973659E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
22:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.808051E+05,3.818303E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.404404E+05,4.716776E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.235995E+01,4.743410E+05,7.259373E+05,1.606781E+01,0.000000E+00,4.185778E+01,4.283634E+05,8.130448E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.808051E+05,3.818303E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.404404E+05,4.716776E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
23:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.702942E+05,3.710600E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.299295E+05,4.336923E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.136092E+01,4.526688E+05,7.031541E+05,1.606781E+01,0.000000E+00,4.086256E+01,4.067369E+05,7.625549E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.702942E+05,3.710600E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.299295E+05,4.336923E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
24:00:00,1.606781E+01,0.000000E+00,1.606781E+01,1.597832E+05,3.602897E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.194185E+05,3.967212E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,4.049473E+01,4.324687E+05,6.815016E+05,1.606781E+01,0.000000E+00,4.000345E+01,3.866157E+05,7.144583E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00,1.606781E+01,0.000000E+00,1.606781E+01,1.597832E+05,3.602897E+05,1.606781E+01,0.000000E+00,1.606781E+01,1.194185E+05,3.967212E+05,1.606781E+01,4.694863E+05,1.606781E+01,0.000000E+00,0.000000E+00
Coinc Peak   ,3.056994E+01,4.198288E+01,4.694863E+05,5.262577E+05,1.606781E+01,6.393540E+01,4.694863E+05,7.817837E+05,2.895513E+01,6.826365E+01,4.694863E+05,8.322624E+05
NonCoinc Peak,3.056994E+01,4.198288E+01,4.694863E+05,5.262577E+05,1.606781E+01,6.393540E+01,4.694863E+05,7.817837E+05,2.895513E+01,6.826365E+01,4.694863E+05,8.322624E+05
