Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/03/04 02:00:00,2581.915943514101,0.0,9227.865317259742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576425989593306,0.576425989593306,-0.4767332193979161,-0.6257906346110963,11.961503981100662,11.961503981100662,9.746550780726466,13.21775856263956,2581.915943514101,2581.915943514101,0.0,2868.7954927934456,0.0,2581.915943514101,2868.7954927934456
2019/03/04 03:00:00,3053.687405838631,0.0,15617.729628905749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6271368132735532,0.6271368132735532,-0.5323977172659339,-0.7016925567329592,13.253498027235125,13.253498027235125,10.930243979811394,15.355491184173758,3053.687405838631,3053.687405838631,0.0,3392.986006487368,0.0,3053.687405838631,3392.986006487368
2019/03/04 04:00:00,2591.8066958504014,0.0,9785.252173288007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722323144335073,0.6722323144335073,-0.5459233427247682,-0.7442521109645197,14.496139972573957,14.496139972573957,11.238108268846403,16.663048586480585,2591.8066958504014,2591.8066958504014,0.0,2879.785217611557,0.0,2591.8066958504014,2879.785217611557
2019/03/04 05:00:00,4134.635004942788,0.0,25610.928796980992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690554875329737,0.690554875329737,-0.5620854028040256,-0.7858943959455773,15.02619609702137,15.02619609702137,11.616379391062296,18.017588379830144,4134.635004942788,4134.635004942788,0.0,4594.038894380876,0.0,4134.635004942788,4594.038894380876
2019/03/04 06:00:00,4600.493728554741,0.0,26484.228551298565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077262391974077,0.8077262391974077,-0.5518952610782899,-0.6419393392006254,18.757214133011672,18.757214133011672,11.376561204862767,13.651672869882646,4600.493728554741,4600.493728554741,0.0,5111.659698394158,0.0,4600.493728554741,5111.659698394158
2019/03/04 07:00:00,7491.677164271164,0.0,43509.74190146224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9674099781519837,0.9674099781519837,-0.4411522519637921,-0.6359806944551676,24.76774268629022,24.76774268629022,9.059971394450457,13.490247641182691,7491.677164271164,7491.677164271164,0.0,8324.08573807907,0.0,7491.677164271164,8324.08573807907
2019/03/04 08:00:00,7491.09272567159,0.0,72102.81909927628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2862962008606869,1.2862962008606869,-0.25992256977658773,-0.48483284017877537,39.5656125746187,39.5656125746187,6.402602168713273,9.910465458774425,7491.09272567159,7491.09272567159,0.0,8323.436361857322,0.0,7491.09272567159,8323.436361857322
2019/03/04 09:00:00,9507.334580586717,0.0,74689.57942222018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926966608663201,0.6926966608663201,-0.45774444603316977,-0.5215573373536465,15.08910370010392,15.08910370010392,9.373356503167273,10.68921978240256,9507.334580586717,9507.334580586717,0.0,10563.705089540796,0.0,9507.334580586717,10563.705089540796
2019/03/04 10:00:00,9916.813289927617,0.0,67298.47422344178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6388486742126525,0.6388486742126525,-0.47021067172115,-0.5184723771632442,13.56775165575469,13.56775165575469,9.61660848659993,10.621558749620405,9916.813289927617,9916.813289927617,0.0,11018.68143325291,0.0,9916.813289927617,11018.68143325291
2019/03/04 11:00:00,11126.723321640853,0.0,74517.5625622786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6683637939313418,0.6683637939313418,-0.4886437580883165,-0.5282923746566937,14.386084252044796,14.386084252044796,9.988567575494372,10.838367568576004,11126.723321640853,11126.723321640853,0.0,12363.025912934283,0.0,11126.723321640853,12363.025912934283
