Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,2315.363964538479,0.0,14886.266349860649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2315.363964538479,2315.363964538479,0.0,2572.626627264977,0.0,2315.363964538479,2572.626627264977
2019/01/01 02:00:00,1459.0701117425006,0.0,1278.2220542965342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1459.0701117425006,1459.0701117425006,0.0,1621.1890130472227,0.0,1459.0701117425006,1621.1890130472227
2019/01/01 03:00:00,2110.4565734715907,0.0,6173.486543184336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2110.4565734715907,2110.4565734715907,0.0,2344.9517483017676,0.0,2110.4565734715907,2344.9517483017676
2019/01/01 04:00:00,1605.4557958092914,0.0,1505.6828968622979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1605.4557958092914,1605.4557958092914,0.0,1783.839773121435,0.0,1605.4557958092914,1783.839773121435
2019/01/01 05:00:00,2403.345672675867,0.0,7993.0072050061135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2403.345672675867,2403.345672675867,0.0,2670.3840807509628,0.0,2403.345672675867,2670.3840807509628
2019/01/01 06:00:00,3269.8140246747807,0.0,8596.409201047096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3269.8140246747807,3269.8140246747807,0.0,3633.12669408309,0.0,3269.8140246747807,3633.12669408309
2019/01/01 07:00:00,4353.606171412146,0.0,21507.181823022314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4353.606171412146,4353.606171412146,0.0,4837.340190457939,0.0,4353.606171412146,4837.340190457939
2019/01/01 08:00:00,5599.195341050567,0.0,33148.76578352936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5599.195341050567,5599.195341050567,0.0,6221.328156722853,0.0,5599.195341050567,6221.328156722853
2019/01/01 09:00:00,6177.078604456662,0.0,32588.303553880654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6177.078604456662,6177.078604456662,0.0,6863.4206716185145,0.0,6177.078604456662,6863.4206716185145
2019/01/01 10:00:00,6547.878905914829,0.0,31191.402616796906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6547.878905914829,6547.878905914829,0.0,7275.421006572034,0.0,6547.878905914829,7275.421006572034
2019/01/01 11:00:00,7217.469948999042,0.0,33314.017711507986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7217.469948999042,7217.469948999042,0.0,8019.411054443377,0.0,7217.469948999042,8019.411054443377
2019/01/01 12:00:00,7532.318197205516,0.0,32474.57299507006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7532.318197205516,7532.318197205516,0.0,8369.242441339462,0.0,7532.318197205516,8369.242441339462
2019/01/01 13:00:00,7145.485693848808,0.0,29427.65977873749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7145.485693848808,7145.485693848808,0.0,7939.428548720899,0.0,7145.485693848808,7939.428548720899
2019/01/01 14:00:00,7199.449289749969,0.0,27679.551707416525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7199.449289749969,7199.449289749969,0.0,7999.388099722186,0.0,7199.449289749969,7999.388099722186
2019/01/01 15:00:00,6881.230659011064,0.0,28526.35495689122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6881.230659011064,6881.230659011064,0.0,7645.811843345627,0.0,6881.230659011064,7645.811843345627
2019/01/01 16:00:00,6731.298861623458,0.0,30075.52402488676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6731.298861623458,6731.298861623458,0.0,7479.220957359397,0.0,6731.298861623458,7479.220957359397
2019/01/01 17:00:00,6841.165967851498,0.0,31313.21527248445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6841.165967851498,6841.165967851498,0.0,7601.295519834999,0.0,6841.165967851498,7601.295519834999
2019/01/01 18:00:00,7019.499204105013,0.0,31818.99328839828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7019.499204105013,7019.499204105013,0.0,7799.44356011668,0.0,7019.499204105013,7799.44356011668
2019/01/01 19:00:00,6027.820619820439,0.0,29920.522177176175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6027.820619820439,6027.820619820439,0.0,6697.578466467155,0.0,6027.820619820439,6697.578466467155
2019/01/01 20:00:00,5803.361902552657,0.0,26061.904205340896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5803.361902552657,5803.361902552657,0.0,6448.1798917251745,0.0,5803.361902552657,6448.1798917251745
2019/01/01 21:00:00,5668.423358847347,0.0,30885.207555129837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5668.423358847347,5668.423358847347,0.0,6298.2481764970535,0.0,5668.423358847347,6298.2481764970535
2019/01/01 22:00:00,5185.72017370448,0.0,27994.729268722906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5185.72017370448,5185.72017370448,0.0,5761.911304116088,0.0,5185.72017370448,5761.911304116088
2019/01/01 23:00:00,4095.7764048008967,0.0,24786.66285408581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4095.7764048008967,4095.7764048008967,0.0,4550.862672000996,0.0,4095.7764048008967,4550.862672000996
2019/01/02 00:00:00,2594.6463559503673,0.0,20303.234512488656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2594.6463559503673,2594.6463559503673,0.0,2882.940395500408,0.0,2594.6463559503673,2882.940395500408
2019/01/02 01:00:00,2315.8604999762697,0.0,15015.83515671505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2315.8604999762697,2315.8604999762697,0.0,2573.178333306966,0.0,2315.8604999762697,2573.178333306966
2019/01/02 02:00:00,1613.6776138108085,0.0,2426.674263740265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1613.6776138108085,1613.6776138108085,0.0,1792.9751264564536,0.0,1613.6776138108085,1792.9751264564536
