Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/07/14 12:00:00,890.4503951354977,0,275.4149430331268,0,0,0,0,0,0,0,0,0,0,0,0,890.4503951354977,890.4503951354977,0.0,989.3893279283308,0.0,890.4503951354977,989.3893279283308
2019/07/14 13:00:00,491.0475351519254,0,202.83766396124534,0,0,0,0,0,0,0,0,0,0,0,0,491.0475351519254,491.0475351519254,0.0,545.6083723910282,0.0,491.0475351519254,545.6083723910282
2019/07/14 14:00:00,900.1653345514287,0,239.9154329911473,0,0,0,0,0,0,0,0,0,0,0,0,900.1653345514287,900.1653345514287,0.0,1000.183705057143,0.0,900.1653345514287,1000.183705057143
2019/07/14 15:00:00,503.22373829867803,0,202.87662326179378,0,0,0,0,0,0,0,0,0,0,0,0,503.22373829867803,503.22373829867803,0.0,559.1374869985311,0.0,503.22373829867803,559.1374869985311
2019/07/14 16:00:00,920.3480098135478,0,231.15962365613106,0,0,0,0,0,0,0,0,0,0,0,0,920.3480098135478,920.3480098135478,0.0,1022.6088997928309,0.0,920.3480098135478,1022.6088997928309
2019/07/14 17:00:00,344.596893199004,0,108.944451694907,0,0,0,0,0,0,0,0,0,0,0,0,344.596893199004,344.596893199004,0.0,382.8854368877822,0.0,344.596893199004,382.8854368877822
2019/07/14 18:00:00,738.010638704387,0,428.32735087630664,0,0,0,0,0,0,0,0,0,0,0,0,738.010638704387,738.010638704387,0.0,820.0118207826522,0.0,738.010638704387,820.0118207826522
2019/07/14 19:00:00,340.9245917498869,0,108.944451694907,0,0,0,0,0,0,0,0,0,0,0,0,340.9245917498869,340.9245917498869,0.0,378.8051019443187,0.0,340.9245917498869,378.8051019443187
2019/07/14 20:00:00,729.4266554682112,0,959.8933416262447,0,0,0,0,0,0,0,0,0,0,0,0,729.4266554682112,729.4266554682112,0.0,810.4740616313456,0.0,729.4266554682112,810.4740616313456
2019/07/14 21:00:00,422.37513178623607,0,140.8414093779805,0,0,0,0,0,0,0,0,0,0,0,0,422.37513178623607,422.37513178623607,0.0,469.30570198470673,0.0,422.37513178623607,469.30570198470673
2019/07/14 22:00:00,831.0429830143262,0,1174.427680408473,0,0,0,0,0,0,0,0,0,0,0,0,831.0429830143262,831.0429830143262,0.0,923.3810922381401,0.0,831.0429830143262,923.3810922381401
2019/07/14 23:00:00,341.45908552272084,0,129.44731870008044,0,0,0,0,0,0,0,0,0,0,0,0,341.45908552272084,341.45908552272084,0.0,379.39898391413425,0.0,341.45908552272084,379.39898391413425
2019/07/15 00:00:00,820.6599952238071,0,1439.5812567052733,0,0,0,0,0,0,0,0,0,0,0,0,820.6599952238071,820.6599952238071,0.0,911.8444391375634,0.0,820.6599952238071,911.8444391375634
2019/07/15 01:00:00,361.8241671539215,0,130.06599983683182,0,0,0,0,0,0,0,0,0,0,0,0,361.8241671539215,361.8241671539215,0.0,402.0268523932461,0.0,361.8241671539215,402.0268523932461
2019/07/15 02:00:00,838.5075608552922,0,1142.3586053566196,0,0,0,0,0,0,0,0,0,0,0,0,838.5075608552922,838.5075608552922,0.0,931.6750676169913,0.0,838.5075608552922,931.6750676169913
2019/07/15 03:00:00,483.2451013642127,0,177.06362306752948,0,0,0,0,0,0,0,0,0,0,0,0,483.2451013642127,483.2451013642127,0.0,536.9390015157919,0.0,483.2451013642127,536.9390015157919
2019/07/15 04:00:00,1172.3536279515433,0,791.268848581945,0,0,0,0,0,0,0,0,0,0,0,0,1172.3536279515433,1172.3536279515433,0.0,1302.6151421683815,0.0,1172.3536279515433,1302.6151421683815
2019/07/15 05:00:00,1200.1306163630604,0,202.5760115583788,0,0,0,0,0,0,0,0,0,0,0,0,1200.1306163630604,1200.1306163630604,0.0,1333.4784626256226,0.0,1200.1306163630604,1333.4784626256226
2019/07/15 06:00:00,1592.5250380993762,0,974.3158449780767,0,0,0,0,0,0,0,0,0,0,0,0,1592.5250380993762,1592.5250380993762,0.0,1769.4722645548622,0.0,1592.5250380993762,1769.4722645548622
2019/07/15 07:00:00,1697.71851984611,0,1328.4730205560284,0,0,0,0,0,0,0,0,0,0,0,0,1697.71851984611,1697.71851984611,0.0,1886.3539109401222,0.0,1697.71851984611,1886.3539109401222
2019/07/15 08:00:00,1746.720335629906,0,1205.4885667118233,0,0,0,0,0,0,0,0,0,0,0,0,1746.720335629906,1746.720335629906,0.0,1940.8003729221177,0.0,1746.720335629906,1940.8003729221177
2019/07/15 09:00:00,1762.3682498782957,0,1005.7300267078239,0,0,0,0,0,0,0,0,0,0,0,0,1762.3682498782957,1762.3682498782957,0.0,1958.1869443092173,0.0,1762.3682498782957,1958.1869443092173
2019/07/15 10:00:00,1804.83135717044,0,979.6906180106301,0,0,0,0,0,0,0,0,0,0,0,0,1804.83135717044,1804.83135717044,0.0,2005.3681746338223,0.0,1804.83135717044,2005.3681746338223
2019/07/15 11:00:00,1787.0465676328845,0,1050.7095812823047,0,0,0,0,0,0,0,0,0,0,0,0,1787.0465676328845,1787.0465676328845,0.0,1985.6072973698715,0.0,1787.0465676328845,1985.6072973698715
2019/07/15 12:00:00,1847.864818938724,0,960.1714747572969,0,0,0,0,0,0,0,0,0,0,0,0,1847.864818938724,1847.864818938724,0.0,2053.1831321541376,0.0,1847.864818938724,2053.1831321541376
2019/07/15 13:00:00,1927.2000850614538,0,786.5567333209759,0,0,0,0,0,0,0,0,0,0,0,0,1927.2000850614538,1927.2000850614538,0.0,2141.3334278460597,0.0,1927.2000850614538,2141.3334278460597
2019/07/15 14:00:00,2165.08061451594,0,762.9494752105618,0,0,0,0,0,0,0,0,0,0,0,0,2165.08061451594,2165.08061451594,0.0,2405.645127239933,0.0,2165.08061451594,2405.645127239933
2019/07/15 15:00:00,2101.9799481723053,0,727.4665515083088,0,0,0,0,0,0,0,0,0,0,0,0,2101.9799481723053,2101.9799481723053,0.0,2335.533275747006,0.0,2101.9799481723053,2335.533275747006
2019/07/15 16:00:00,2156.484332822514,0,707.0618198515635,0,0,0,0,0,0,0,0,0,0,0,0,2156.484332822514,2156.484332822514,0.0,2396.0937031361264,0.0,2156.484332822514,2396.0937031361264
2019/07/15 17:00:00,1960.0919627065389,0,572.5264886910337,0,0,0,0,0,0,0,0,0,0,0,0,1960.0919627065389,1960.0919627065389,0.0,2177.879958562821,0.0,1960.0919627065389,2177.879958562821
2019/07/15 18:00:00,1424.130600158903,0,278.0122267494975,0,0,0,0,0,0,0,0,0,0,0,0,1424.130600158903,1424.130600158903,0.0,1582.3673335098922,0.0,1424.130600158903,1582.3673335098922
2019/07/15 19:00:00,1434.836312311913,0,301.77073781899094,0,0,0,0,0,0,0,0,0,0,0,0,1434.836312311913,1434.836312311913,0.0,1594.2625692354588,0.0,1434.836312311913,1594.2625692354588
2019/07/15 20:00:00,1097.9538874215318,0,205.0345740823264,0,0,0,0,0,0,0,0,0,0,0,0,1097.9538874215318,1097.9538874215318,0.0,1219.948763801702,0.0,1097.9538874215318,1219.948763801702
2019/07/15 21:00:00,1237.6075322847778,0,237.6670277129194,0,0,0,0,0,0,0,0,0,0,0,0,1237.6075322847778,1237.6075322847778,0.0,1375.1194803164196,0.0,1237.6075322847778,1375.1194803164196
2019/07/15 22:00:00,858.8071358970374,0,352.5933166317107,0,0,0,0,0,0,0,0,0,0,0,0,858.8071358970374,858.8071358970374,0.0,954.2301509967082,0.0,858.8071358970374,954.2301509967082
2019/07/15 23:00:00,363.7714401188651,0,130.1992410281349,0,0,0,0,0,0,0,0,0,0,0,0,363.7714401188651,363.7714401188651,0.0,404.1904890209612,0.0,363.7714401188651,404.1904890209612
2019/07/16 00:00:00,936.5244991817972,0,1247.057165152838,0,0,0,0,0,0,0,0,0,0,0,0,936.5244991817972,936.5244991817972,0.0,1040.5827768686636,0.0,936.5244991817972,1040.5827768686636
2019/07/16 01:00:00,361.8241671539215,0,130.05741361471806,0,0,0,0,0,0,0,0,0,0,0,0,361.8241671539215,361.8241671539215,0.0,402.0268523932461,0.0,361.8241671539215,402.0268523932461
2019/07/16 02:00:00,906.9782785706536,0,1278.5378685017195,0,0,0,0,0,0,0,0,0,0,0,0,906.9782785706536,906.9782785706536,0.0,1007.7536428562818,0.0,906.9782785706536,1007.7536428562818
2019/07/16 03:00:00,390.62255518579565,0,130.13324183375937,0,0,0,0,0,0,0,0,0,0,0,0,390.62255518579565,390.62255518579565,0.0,434.0250613175507,0.0,390.62255518579565,434.0250613175507
2019/07/16 04:00:00,1321.3720716455216,0,822.0047852703372,0,0,0,0,0,0,0,0,0,0,0,0,1321.3720716455216,1321.3720716455216,0.0,1468.1911907172462,0.0,1321.3720716455216,1468.1911907172462
2019/07/16 05:00:00,1313.5940659189707,0,191.53393190904066,0,0,0,0,0,0,0,0,0,0,0,0,1313.5940659189707,1313.5940659189707,0.0,1459.5489621321897,0.0,1313.5940659189707,1459.5489621321897
2019/07/16 06:00:00,1715.228201615837,0,974.3177824144766,0,0,0,0,0,0,0,0,0,0,0,0,1715.228201615837,1715.228201615837,0.0,1905.8091129064856,0.0,1715.228201615837,1905.8091129064856
2019/07/16 07:00:00,1824.2207979828709,0,1229.6450972068326,0,0,0,0,0,0,0,0,0,0,0,0,1824.2207979828709,1824.2207979828709,0.0,2026.9119977587454,0.0,1824.2207979828709,2026.9119977587454
2019/07/16 08:00:00,1876.0493780479637,0,1081.2983042472586,0,0,0,0,0,0,0,0,0,0,0,0,1876.0493780479637,1876.0493780479637,0.0,2084.499308942182,0.0,1876.0493780479637,2084.499308942182
2019/07/16 09:00:00,1841.7334362497395,0,777.6611218153506,0,0,0,0,0,0,0,0,0,0,0,0,1841.7334362497395,1841.7334362497395,0.0,2046.3704847219328,0.0,1841.7334362497395,2046.3704847219328
2019/07/16 10:00:00,1988.0441506552174,0,765.9085623201129,0,0,0,0,0,0,0,0,0,0,0,0,1988.0441506552174,1988.0441506552174,0.0,2208.937945172464,0.0,1988.0441506552174,2208.937945172464
2019/07/16 11:00:00,1896.901977623086,0,783.4447048446534,0,0,0,0,0,0,0,0,0,0,0,0,1896.901977623086,1896.901977623086,0.0,2107.668864025651,0.0,1896.901977623086,2107.668864025651
2019/07/16 12:00:00,1914.9541408700618,0,726.7610882173065,0,0,0,0,0,0,0,0,0,0,0,0,1914.9541408700618,1914.9541408700618,0.0,2127.7268231889575,0.0,1914.9541408700618,2127.7268231889575
2019/07/16 13:00:00,1812.774754415772,0,773.6667240155098,0,0,0,0,0,0,0,0,0,0,0,0,1812.774754415772,1812.774754415772,0.0,2014.1941715730798,0.0,1812.774754415772,2014.1941715730798
2019/07/16 14:00:00,1974.6092941274012,0,761.1003593619171,0,0,0,0,0,0,0,0,0,0,0,0,1974.6092941274012,1974.6092941274012,0.0,2194.0103268082235,0.0,1974.6092941274012,2194.0103268082235
2019/07/16 15:00:00,1884.8957000376854,0,755.8432273497411,0,0,0,0,0,0,0,0,0,0,0,0,1884.8957000376854,1884.8957000376854,0.0,2094.328555597428,0.0,1884.8957000376854,2094.328555597428
