Datetime,p.u. voltage,overvoltage,undervoltage
2017/01/15 01:00:00,0.99251,False,False
2017/01/15 03:00:00,0.98554,False,False
2017/01/15 05:00:00,0.97585,False,False
2017/01/15 07:00:00,0.96773,False,False
2017/01/15 09:00:00,0.96485,False,False
2017/01/15 11:00:00,0.96995,False,False
2017/01/15 13:00:00,0.99245,False,False
2017/01/15 15:00:00,0.98434,False,False
2017/01/15 17:00:00,0.96712,False,False
2017/01/15 19:00:00,0.9628,False,False
2017/01/15 21:00:00,0.95914,False,False
2017/01/15 23:00:00,0.96706,False,False
