Datetime,p.u. voltage,overvoltage,undervoltage
2017/01/15 01:00:00,0.99216,False,False
2017/01/15 03:00:00,0.98444,False,False
2017/01/15 05:00:00,0.97355,False,False
2017/01/15 07:00:00,0.96462,False,False
2017/01/15 09:00:00,0.96141,False,False
2017/01/15 11:00:00,0.96708,False,False
2017/01/15 13:00:00,0.9921,False,False
2017/01/15 15:00:00,0.98323,False,False
2017/01/15 17:00:00,0.9643,False,False
2017/01/15 19:00:00,0.95959,False,False
2017/01/15 21:00:00,0.95547,False,False
2017/01/15 23:00:00,0.96398,False,False
