Datetime,p.u. voltage,overvoltage,undervoltage
2017/01/15 01:00:00,0.99591,False,False
2017/01/15 03:00:00,0.99335,False,False
2017/01/15 05:00:00,0.99068,False,False
2017/01/15 07:00:00,0.98747,False,False
2017/01/15 09:00:00,0.98648,False,False
2017/01/15 11:00:00,0.9882,False,False
2017/01/15 13:00:00,0.99578,False,False
2017/01/15 15:00:00,0.99246,False,False
2017/01/15 17:00:00,0.98569,False,False
2017/01/15 19:00:00,0.98366,False,False
2017/01/15 21:00:00,0.98326,False,False
2017/01/15 23:00:00,0.98672,False,False
