Datetime,p.u. voltage,overvoltage,undervoltage
2017/01/15 01:00:00,0.99641,False,False
2017/01/15 03:00:00,0.99448,False,False
2017/01/15 05:00:00,0.99225,False,False
2017/01/15 07:00:00,0.98958,False,False
2017/01/15 09:00:00,0.98879,False,False
2017/01/15 11:00:00,0.99012,False,False
2017/01/15 13:00:00,0.99634,False,False
2017/01/15 15:00:00,0.99374,False,False
2017/01/15 17:00:00,0.98826,False,False
2017/01/15 19:00:00,0.98665,False,False
2017/01/15 21:00:00,0.986,False,False
2017/01/15 23:00:00,0.98896,False,False
