Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
2019/01/01 11:00:00,226.2973778876051,0.0,1471.5234847926095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9165817745208842,0.9165817745208842,-0.40144890467275834,-0.4434934697469268,22.742142483753128,22.742142483753128,8.35806354957461,9.1034737346652,226.2973778876051,226.2973778876051,0.0,251.4415309862279,0.0,226.2973778876051,251.4415309862279,137.534,226.045,88.5115,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,137.534,0.0,137.534,0.0,0.0,0.0,0.0,0.0
2019/01/01 12:00:00,246.86632388829557,0.0,1433.5755603875205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136735884507793,1.0136735884507793,-0.3928166047607638,-0.42147493252177176,26.698920064051862,26.698920064051862,8.214392164251365,8.703650170653276,246.86632388829557,246.86632388829557,0.0,274.29591543143954,0.0,246.86632388829557,274.29591543143954,145.695,245.058,99.363,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,145.695,0.0,145.695,0.0,0.0,0.0,0.0,0.0
2019/01/01 13:00:00,224.62463375984342,0.0,1223.4565875869516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0460392688065931,1.0460392688065931,-0.37354750914756807,-0.38706935864546893,28.097814204073416,28.097814204073416,7.905174111050314,8.120504649514132,224.62463375984342,224.62463375984342,0.0,249.58292639982602,0.0,224.62463375984342,249.58292639982602,125.92,227.482,101.562,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,125.92,0.0,125.92,0.0,0.0,0.0,0.0,0.0
2019/01/01 14:00:00,224.27192060724576,0.0,1198.6521805582215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526691328303053,1.0526691328303053,-0.3518573955676722,-0.3718432952619835,28.389099644584505,28.389099644584505,7.576048939130587,7.878588743460014,224.27192060724576,224.27192060724576,0.0,249.19102289693973,0.0,224.27192060724576,249.19102289693973,176.926,223.699,46.7729,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,176.926,0.0,176.926,0.0,0.0,0.0,0.0,0.0
2019/01/01 15:00:00,205.76156174520074,0.0,1287.9550381974084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0473725834583987,1.0473725834583987,-0.3542761193992441,-0.3807894871328796,28.156266078149287,28.156266078149287,7.611758180555952,8.019529333764751,205.76156174520074,205.76156174520074,0.0,228.62395749466748,0.0,205.76156174520074,228.62395749466748,195.55,205.108,9.55795,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,195.55,0.0,195.55,0.0,0.0,0.0,0.0,0.0
2019/01/01 16:00:00,197.79254488925082,0.0,1360.797062518409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044568605890827,1.044568605890827,-0.36821077751324216,-0.39931815213751987,28.033415877940726,28.033415877940726,7.82233554720132,8.322304176957616,197.79254488925082,197.79254488925082,0.0,219.7694943213898,0.0,197.79254488925082,219.7694943213898,111.69,197.125,85.4346,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,111.69,0.0,111.69,0.0,0.0,0.0,0.0,0.0
2019/01/01 17:00:00,223.20153003188844,0.0,1393.6690379337049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0538481966719697,1.0538481966719697,-0.3799555707984839,-0.4095445549381282,28.441068446348325,28.441068446348325,8.006247269559182,8.49570054729719,223.20153003188844,223.20153003188844,0.0,248.00170003543158,0.0,223.20153003188844,248.00170003543158,24.7445,222.603,197.858,0.0,0.0,0.0,0.760469424282114,0.0,0.0,0.0,0.0,24.7445,0.0,24.7445,0.0,0.0,0.0,0.0,0.0
2019/01/01 18:00:00,245.3206557537012,0.0,1359.6884429263996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0574227374308003,1.0574227374308003,-0.3779226982462788,-0.40218179448267677,28.59892654936891,28.59892654936891,7.973993397730993,8.370408179028146,245.3206557537012,245.3206557537012,0.0,272.5785063930013,0.0,245.3206557537012,272.5785063930013,0.0,244.619,220.669,0.0,23.9501,0.0,0.496788232040451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/01 19:00:00,228.09406012791854,0.0,1270.3319860112358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0556765322482187,1.0556765322482187,-0.3611015502538554,-0.37902254736926916,28.521753676112112,28.521753676112112,7.713869269075474,7.991421877002196,228.09406012791854,228.09406012791854,0.0,253.43784458657615,0.0,228.09406012791854,253.43784458657615,0.0,228.981,220.669,0.0,8.31269,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/01 20:00:00,219.7070036289864,0.0,1230.569401398903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0513481577066992,1.0513481577066992,-0.3475970801430335,-0.3659807252617506,28.330935418505632,28.330935418505632,7.513756241536541,7.78807958526825,219.7070036289864,219.7070036289864,0.0,244.118892921096,0.0,219.7070036289864,244.118892921096,0.0,219.237,219.237,0.0,0.0,0.0,0.405268238719676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
