Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,587.2294933719409,0,6463.336554500873,0,0,0,0,0,0,0,0,0,0,-0.8519087748061126,-0.4549250347961452,-0.4549250347961452,-0.47051465665563047,-0.8996774774059432,20.315454282523646,9.31926958478249,9.31926958478249,9.622623733236765,22.091360404773738,587.2294933719409,587.2294933719409,0.0,652.477214857712,0.0,587.2294933719409,652.477214857712
2019/01/01 02:00:00,395.8623374390536,0,498.7936746422726,0,0,0,0,0,0,0,0,0,0,-0.859547128042598,0.06870624684292252,0.06870624684292252,-0.30263785753410627,-0.8946532166622132,20.593108650649697,5.097738379860729,5.097738379860729,6.903347297443915,21.90017016315322,395.8623374390536,395.8623374390536,0.0,439.8470415989484,0.0,395.8623374390536,439.8470415989484
2019/01/01 03:00:00,450.83547138374115,0,633.1362707943915,0,0,0,0,0,0,0,0,0,0,-0.8977494965567556,0.21662720236167207,0.21662720236167207,-0.3344561139784817,-0.9535364110241626,22.017872716386407,5.973412857705853,5.973412857705853,7.326473707122844,24.20472313928316,450.83547138374115,450.83547138374115,0.0,500.92830153749014,0.0,450.83547138374115,500.92830153749014
2019/01/01 04:00:00,395.86229227066286,0,633.5332413877508,0,0,0,0,0,0,0,0,0,0,-0.8921665047876834,0.3111133085829958,0.3111133085829958,-0.3348960213699727,-0.9377296858398194,21.805922657386404,7.011865699424362,7.011865699424362,7.332624524087137,23.57247943746735,395.86229227066286,395.86229227066286,0.0,439.8469914118476,0.0,395.86229227066286,439.8469914118476
2019/01/01 05:00:00,595.6965071243328,0,1055.2271179906527,0,0,0,0,0,0,0,0,0,0,-0.8563488376027079,0.43170663199332,0.43170663199332,-0.3334152626926841,-0.8683906575816384,20.476556114938248,8.88685342669362,8.88685342669362,7.311953162542281,20.91758972326899,595.6965071243328,595.6965071243328,0.0,661.8850079159254,0.0,595.6965071243328,661.8850079159254
2019/01/01 06:00:00,1410.8665331318964,0,2778.105385713966,0,0,0,0,0,0,0,0,0,0,-0.9092702272077767,0.609596538348879,0.609596538348879,-0.30958659224181684,-0.9819662756139704,22.459244027089923,12.793987313905205,12.793987313905205,6.992093392161479,25.366522719734178,1410.8665331318964,1410.8665331318964,0.0,1567.6294812576625,0.0,1410.8665331318964,1567.6294812576625
2019/01/01 07:00:00,1574.2036530553157,0,9065.741697363139,0,0,0,0,0,0,0,0,0,0,-0.8669010074118922,0.3799208276990448,0.3799208276990448,-0.11576358959257015,-0.9018591670771228,20.862706068671613,8.00569454870785,8.00569454870785,5.277577470778851,22.17470073725292,1574.2036530553157,1574.2036530553157,0.0,1749.1151700614619,0.0,1574.2036530553157,1749.1151700614619
2019/01/01 08:00:00,2226.3331255631438,0,17301.168691592335,0,0,0,0,0,0,0,0,0,0,-0.8768345260245999,0.6489799640242769,0.6489799640242769,0.0006301569699752831,-0.82340810431982,21.230418671358876,13.84439444430626,13.84439444430626,5.000008220123291,19.300914073551866,2226.3331255631438,2226.3331255631438,0.0,2473.7034728479375,0.0,2226.3331255631438,2473.7034728479375
2019/01/01 09:00:00,2441.5096545523206,0,16886.502525440003,0,0,0,0,0,0,0,0,0,0,-0.6275670943690033,-0.15464569730760414,-0.15464569730760414,-0.3714390409063155,-0.6293773466194604,13.264938068348442,5.495583169706194,5.495583169706194,7.872300637165395,13.313155896343304,2441.5096545523206,2441.5096545523206,0.0,2712.788505058134,0.0,2441.5096545523206,2712.788505058134
2019/01/01 10:00:00,2705.9460502516727,0,16757.204556636578,0,0,0,0,0,0,0,0,0,0,-0.6042182565164163,-0.1466704678277908,-0.1466704678277908,-0.39906340638039,-0.6078095559047414,12.655764669287521,5.44573895654672,5.44573895654672,8.31804190349854,12.747922333750907,2705.9460502516727,2705.9460502516727,0.0,3006.6067225018583,0.0,2705.9460502516727,3006.6067225018583
