Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/05/09 18:00:00,245.95022510980112,0,970.1634619546502,0,0,0,0,0,0,0,0,0,0,1.0804906878729652,1.0804906878729652,0.3789027167009905,0.38330176039769814,29.628582753902123,29.628582753902123,7.989520504931178,8.059722587981327,245.95022510980112,245.95022510980112,0.0,273.27802789977903,0.0,245.95022510980112,273.27802789977903
2019/05/09 19:00:00,237.44784020535397,0,969.8988196738096,0,0,0,0,0,0,0,0,0,0,1.067487125347545,1.067487125347545,0.40225853580971094,0.4046650517238645,29.045842174859274,29.045842174859274,8.371702121899986,8.412406496908858,237.44784020535397,237.44784020535397,0.0,263.8309335615044,0.0,237.44784020535397,263.8309335615044
2019/05/09 20:00:00,249.8177213101843,0,896.1130274782007,0,0,0,0,0,0,0,0,0,0,1.0511043197407128,1.0511043197407128,0.4122954799903538,0.41331691812460486,28.32020580236248,28.32020580236248,8.543108835983219,8.56079440835964,249.8177213101843,249.8177213101843,0.0,277.5752459002048,0.0,249.8177213101843,277.5752459002048
2019/05/09 21:00:00,225.18345090511062,0,881.0400438795896,0,0,0,0,0,0,0,0,0,0,1.02831345298425,1.02831345298425,0.4036988163468275,0.3985833297371225,27.326888062530514,27.326888062530514,8.396033583527668,8.310017056293347,225.18345090511062,225.18345090511062,0.0,250.2038343390118,0.0,225.18345090511062,250.2038343390118
2019/05/09 22:00:00,143.71656211426688,0,711.279917039623,0,0,0,0,0,0,0,0,0,0,0.9322041272152616,0.9322041272152616,0.3734999974015651,0.3568312932303578,23.35380285296334,23.35380285296334,7.9044312596352455,7.649752331504999,143.71656211426688,143.71656211426688,0.0,159.6850690158521,0.0,143.71656211426688,159.6850690158521
2019/05/09 23:00:00,89.51340841223279,0,536.2894041170653,0,0,0,0,0,0,0,0,0,0,0.8685771542930087,0.8685771542930087,0.3081997828009154,0.26165188744488016,20.92446733190664,20.92446733190664,6.974218509311044,6.4213808370271295,89.51340841223279,89.51340841223279,0.0,99.45934268025866,0.0,89.51340841223279,99.45934268025866
2019/05/10 00:00:00,52.62115026226834,0,517.0329098816567,0,0,0,0,0,0,0,0,0,0,0.7950690747133358,0.7950690747133358,0.17347149525485295,0.09354904433189302,18.32595134122367,18.32595134122367,5.6237546414667605,5.181229719503335,52.62115026226834,52.62115026226834,0.0,58.467944735853706,0.0,52.62115026226834,58.467944735853706
2019/05/10 01:00:00,23.30041862461942,0,53.2750650825305,0,0,0,0,0,0,0,0,0,0,0.8836647797206408,0.8836647797206408,0.47515916322367924,0.3770943799791437,21.485611070615846,21.485611070615846,9.7150244921269,7.9609017406430524,23.30041862461942,23.30041862461942,0.0,25.889354027354912,0.0,23.30041862461942,25.889354027354912
2019/05/10 02:00:00,27.87099327099091,0,53.235528768816195,0,0,0,0,0,0,0,0,0,0,0.9415632684085418,0.9415632684085418,0.5088581066325364,0.407710888975472,23.724908464234886,23.724908464234886,10.413334354312028,8.46427994796899,27.87099327099091,27.87099327099091,0.0,30.96777030110101,0.0,27.87099327099091,30.96777030110101
2019/05/10 03:00:00,23.30044418842451,0,35.49035251254413,0,0,0,0,0,0,0,0,0,0,0.9395918481170239,0.9395918481170239,0.5060778126366151,0.4192953457725738,23.646448962030817,23.646448962030817,10.353864327115872,8.66520391222933,23.30044418842451,23.30044418842451,0.0,25.88938243158279,0.0,23.30044418842451,25.88938243158279
