Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
2019/01/01 11:00:00,57.51522282075383,0.0,377.20842246146907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33293062146982433,-0.33293062146982433,7.30520779684467,7.30520779684467,57.51522282075383,57.51522282075383,0.0,63.90580313417092,0.0,57.51522282075383,63.90580313417092,37.277,57.5169,20.2399,0.0,0.0,0.0,0.901909514427238,0.0,0.0,0.0,0.0,37.277,0.0,37.277,0.0,0.0,0.0,0.0,0.0
2019/01/01 12:00:00,62.058256315988906,0.0,342.149934808722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3081167931247193,-0.3081167931247193,6.973151418747207,6.973151418747207,62.058256315988906,62.058256315988906,0.0,68.95361812887656,0.0,62.058256315988906,68.95361812887656,39.489,62.05,22.5611,0.0,0.0,0.0,0.901909514427238,0.0,0.0,0.0,0.0,39.489,0.0,39.489,0.0,0.0,0.0,0.0,0.0
2019/01/01 13:00:00,58.81042102035486,0.0,289.00855510142725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2833625506319098,-0.2833625506319098,6.667855023227602,6.667855023227602,58.81042102035486,58.81042102035486,0.0,65.34491224483872,0.0,58.81042102035486,65.34491224483872,34.1292,58.8124,24.6832,0.0,0.0,0.0,0.901909514427238,0.0,0.0,0.0,0.0,34.1292,0.0,34.1292,0.0,0.0,0.0,0.0,0.0
2019/01/01 14:00:00,55.63412142896516,0.0,280.495244754971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27700410974137946,-0.27700410974137946,6.59361244128128,6.59361244128128,55.63412142896516,55.63412142896516,0.0,61.81569047662795,0.0,55.63412142896516,61.81569047662795,47.9539,55.612,7.65812,0.0,0.0,0.0,0.901909514427238,0.0,0.0,0.0,0.0,47.9539,0.0,47.9539,0.0,0.0,0.0,0.0,0.0
2019/01/01 15:00:00,52.36438504225632,0.0,310.23899474288265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2895106622501693,-0.2895106622501693,6.741263961852383,6.741263961852383,52.36438504225632,52.36438504225632,0.0,58.182650046951466,0.0,52.36438504225632,58.182650046951466,53.0017,52.3954,0.0,0.0,0.0,0.0,0.928365588229878,0.0,0.0,0.0,0.0,53.0017,0.606316,52.3954,0.0,0.0,0.0,0.0,0.0
2019/01/01 16:00:00,52.430402174516786,0.0,342.29511546230884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30498943639012926,-0.30498943639012926,6.933151922851977,6.933151922851977,52.430402174516786,52.430402174516786,0.0,58.25600241612976,0.0,52.430402174516786,58.25600241612976,30.2725,52.4008,22.1283,0.0,0.0,0.0,0.928365588229878,0.0,0.0,0.0,0.0,30.2725,0.0,30.2725,0.0,0.0,0.0,0.0,0.0
2019/01/01 17:00:00,56.270371324544755,0.0,342.50798489712327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30859073736534454,-0.30859073736534454,6.979249367581687,6.979249367581687,56.270371324544755,56.270371324544755,0.0,62.52263480504973,0.0,56.270371324544755,62.52263480504973,6.70674,56.2962,49.5895,0.0,0.0,0.0,0.928365588229878,0.0,0.0,0.0,0.0,6.70674,0.0,6.70674,0.0,0.0,0.0,0.0,0.0
2019/01/01 18:00:00,62.108340796574794,0.0,330.0249564371856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30358499682505474,-0.30358499682505474,6.915323497827501,6.915323497827501,62.108340796574794,62.108340796574794,0.0,69.00926755174977,0.0,62.108340796574794,69.00926755174977,0.0,62.0982,55.9412,0.0,6.15702,0.0,0.629361776566557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/01 19:00:00,61.62992540809941,0.0,305.4418285266828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29122302354303026,-0.29122302354303026,6.761993816582347,6.761993816582347,61.62992540809941,61.62992540809941,0.0,68.47769489788823,0.0,61.62992540809941,68.47769489788823,0.0,61.3391,55.9412,0.0,5.39793,0.0,0.367217854051964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/01/01 20:00:00,59.3844618032037,0.0,298.27182966689605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28714354794332975,-0.28714354794332975,6.712811533825317,6.712811533825317,59.3844618032037,59.3844618032037,0.0,65.982735336893,0.0,59.3844618032037,65.982735336893,0.0,59.3845,55.9412,0.0,3.44327,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
