Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 1 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 1 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE STRIPMALL STRIP MALL - TYPE 2 PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE STRIPMALL STRIP MALL - TYPE 3 PEOPLE 2(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,100.5546019414084,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.5874264677995307,-0.5874264677995307,0.022425207251540128,0.022425207251540128,-0.2962515188355271,12.23229173107076,12.23229173107076,5.010410307930314,5.010410307930314,6.823584681881854,100.5546019414084,100.5546019414084,0.0,111.72733549045377,0.0,100.5546019414084,111.72733549045377
2019/01/01 02:00:00,100.5546019414084,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.5906768446703509,-0.5906768446703509,0.049903359959207944,0.049903359959207944,-0.3066516230565769,12.313308033982452,12.313308033982452,5.05155715330406,5.05155715330406,6.9543600901927505,100.5546019414084,100.5546019414084,0.0,111.72733549045377,0.0,100.5546019414084,111.72733549045377
2019/01/01 03:00:00,100.5546019414084,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.6225616359583321,-0.6225616359583321,0.01942375451529409,0.01942375451529409,-0.3242984766640072,13.132352944714327,13.132352944714327,5.007810063351982,5.007810063351982,7.186732864628283,100.5546019414084,100.5546019414084,0.0,111.72733549045377,0.0,100.5546019414084,111.72733549045377
2019/01/01 04:00:00,100.5546019414084,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.6301686088904969,-0.6301686088904969,0.01781075557230346,0.01781075557230346,-0.3354999326505643,13.33427659082588,13.33427659082588,5.0065667685749276,5.0065667685749276,7.341081836239397,100.5546019414084,100.5546019414084,0.0,111.72733549045377,0.0,100.5546019414084,111.72733549045377
2019/01/01 05:00:00,100.5546019414084,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.6026069314078113,-0.6026069314078113,0.0312234478954712,0.0312234478954712,-0.33830923012552494,12.614597777957542,12.614597777957542,5.020181877454704,5.020181877454704,7.380627453948009,100.5546019414084,100.5546019414084,0.0,111.72733549045377,0.0,100.5546019414084,111.72733549045377
2019/01/01 06:00:00,100.5546019414084,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.6409130404756743,-0.6409130404756743,0.023294603990418605,0.023294603990418605,-0.35726443531366037,13.623759709422018,13.623759709422018,5.011233163592166,5.011233163592166,7.656220482157522,100.5546019414084,100.5546019414084,0.0,111.72733549045377,0.0,100.5546019414084,111.72733549045377
2019/01/01 07:00:00,131.7309932594303,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.6316544616891315,-0.6316544616891315,0.024888717901723364,0.024888717901723364,-0.364714598006309,13.3740109733059,13.3740109733059,5.012823245836842,5.012823245836842,7.768724848932592,131.7309932594303,131.7309932594303,0.0,146.36777028825588,0.0,131.7309932594303,146.36777028825588
2019/01/01 08:00:00,134.3431792966944,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.6571503519461471,-0.6571503519461471,0.01882414154189183,0.01882414154189183,-0.38097370173112166,14.070734672625065,14.070734672625065,5.007335303836854,5.007335303836854,8.02246738424546,134.3431792966944,134.3431792966944,0.0,149.27019921854932,0.0,134.3431792966944,149.27019921854932
2019/01/01 09:00:00,522.163351033218,0,3941.0228160630377,0,0,0,0,0,0,0,0,0,0,-0.674390527661862,-0.674390527661862,0.016785542257582862,0.016785542257582862,-0.39837146052471206,14.55782061617461,14.55782061617461,5.005832531374182,5.005832531374182,8.306478636380618,522.163351033218,522.163351033218,0.0,580.18150114802,0.0,522.163351033218,580.18150114802
2019/01/01 10:00:00,417.15239343659056,0,0.0,0,0,0,0,0,0,0,0,0,0,-0.3562182309508133,-0.3562182309508133,0.06057986893291726,0.06057986893291726,-0.2845330642791549,7.6406110664893845,7.6406110664893845,5.075981689460477,5.075981689460477,6.681708092656137,417.15239343659056,417.15239343659056,0.0,463.5026593739895,0.0,417.15239343659056,463.5026593739895
